Word,Engl,EnglAnt,Dutch,DutchAnt,WordType,Comments about EnglAnt
gara,to change ocmpletely,to remain teh same,volledig veranderen,hetzelfde blijven,NRI,typos
goso,whole,partial,geheel,gedeeltelijk,NRI,
kero,nonchalantly,carefully,nonchalant,voorzichtig,NRI,
kakkiri,exact,approximate,precies,ongeveer,NRI,
kukkiri,clear,blurry,helder,vaag,NRI,
gussuri,fast asleep,wide awake,in diepe slaap, helemaal wakker,NRI,
shinnari,supple,stiff,soepel,onhandig,NRI,
jikkuri,careful,careless,door en door,zorgeloos,NRI,
nopperi,smooth,uneven,glad;vlak,ongelijk,NRI,
bassari,resolute,indecisive,resoluut,besluiteloos,NRI,
batchiri,perfect,flawed,volmaakt,gebrekkig,NRI,
bisshiri,crowded,empty,opeengepakt,losjes,NRI,
potchari,plump,slim,mollig,slank,NRI,
kachinkachin,offended,pleased,beledigd,tevreden,RNRI,
gakugaku,dejected,ecstatic,neerslachtig,opgewekt,RNRI,
pokapoka,gaping,narrow,gapend (gat),nauw (gaatje),RNRI,
gashigashi,sturdy,frail,stevig,fragiel,RNRI,
patapata,sudden,gradual,plotseling,geleidelijk,RNRI,
pishapisha,decisive,hesitant,voortvarend,weifelend,RNRI,
musumusu,sullen,joyful,nors,blij,RNRI,
garagara,to change ocmpletely,to remain teh same,volledig veranderen,hetzelfde blijven,RNRI,
gosogoso,whole,partial,geheel,gedeeltelijk,RNRI,
kerokero,nonchalantly,carefully,nonchalant,voorzichtig,RNRI,
kakkirikakkiri,exact,approximate,precies,ongeveer,RNRI,
kukkirikukkiri,clear,blurry,helder,vaag,RNRI,
gussurigussuri,fast asleep,wide awake,in diepe slaap, helemaal wakker,RNRI,
shinnarishinnari,supple,stiff,soepel,onhandig,RNRI,
jikkurijikkuri,careful,careless,door en door,zorgeloos,RNRI,
nopperinopperi,smooth,uneven,glad;vlak,ongelijk,RNRI,
bassaribassari,resolute,indecisive,resoluut,besluiteloos,RNRI,
batchiribatchiri,perfect,flawed,volmaakt,gebrekkig,RNRI,
bisshiribisshiri,crowded,empty,opeengepakt,losjes,RNRI,
potcharipotchari,plump,slim,mollig,slank,RNRI,
kado,excessive,reasonable,buitensporig,redelijk,NAdj,
kabi,gaudy,plain,opzichtig,ingetogen,NAdj,
kiza,smug,modest,arrogant,nederig,NAdj,
baka,stupid,smart,dom,slim,NAdj,
yabo,tasteless,tasteful,smakeloos,smakelijk,NAdj,
fubi,deficient,sufficient,gebrekkig,voldoende,NAdj,
yawa,fragile,solid,breekbaar,sterk,NAdj,
muku,pure,corrupted,zuiver,bevlekt,NAdj,
mucha,rash,careful,impulsief,bedachtzaam,NAdj,
hima,free,busy,vrij,bezig,NAdj,
jimi,subdued,gaudy,ingetogen,uitgesproken,NAdj,
dame,useless,useful,nutteloos,nuttig,NAdj,
zatsu,sloppy,neat,slordig,netjes,NAdj,
zoku,vulgar,tasteful,grof,beleefd,NAdj,
mare,rare,common,zeldzaam,veelvoorkomend,NAdj,
koku,harsh,gentle,ruw,zacht,NAdj,
raku,comfortable,uncomfortable,comfortabel,oncomfortable,NAdj,
furi,disadvantaged,advantaged,kansarm,bevoordeld,NAdj,
muri,impossible,possible,onmogelijk,mogelijk,NAdj,
toku,beneficial,harmful,gunstig,ongunstig,NAdj,
kadokado,excessive,reasonable,buitensporig,redelijk,RNAdj,
kabikabi,gaudy,plain,opzichtig,ingetogen,RNAdj,
kizakiza,smug,modest,arrogant,nederig,RNAdj,
bakabaka,stupid,smart,dom,slim,RNAdj,
yaboyabo,tasteless,tasteful,smakeloos,smakelijk,RNAdj,
fubifubi,deficient,sufficient,gebrekkig,voldoende,RNAdj,
yawayawa,fragile,solid,breekbaar,sterk,RNAdj,
mukumuku,pure,corrupted,zuiver,bevlekt,RNAdj,
muchamucha,rash,careful,impulsief,bedachtzaam,RNAdj,
himahima,free,busy,vrij,bezig,RNAdj,
jimijimi,subdued,gaudy,ingetogen,uitgesproken,RNAdj,
damedame,useless,useful,nutteloos,nuttig,RNAdj,
zatsuzatsu,sloppy,neat,slordig,netjes,RNAdj,
zokuzoku,vulgar,tasteful,grof,beleefd,RNAdj,
maremare,rare,common,zeldzaam,veelvoorkomend,RNAdj,
kokukoku,harsh,gentle,ruw,zacht,RNAdj,
rakuraku,comfortable,uncomfortable,comfortabel,oncomfortable,RNAdj,
furifuri,disadvantaged,advantaged,kansarm,bevoordeld,RNAdj,
murimuri,impossible,possible,onmogelijk,mogelijk,RNAdj,
tokutoku,beneficial,harmful,gunstig,ongunstig,RNAdj,
